document_id,publication_year,hdbscan_label
500,2021,0
501,2021,0
503,2021,0
509,2021,0
510,2021,0
511,2021,0
512,2021,0
513,2021,0
514,2021,0
515,2021,0
517,2021,0
518,2021,-1
520,2021,0
521,2021,0
527,2021,0
537,2021,0
545,2021,0
546,2021,0
547,2021,0
548,2021,0
549,2021,0
550,2021,0
551,2021,0
555,2021,0
576,2021,0
613,2021,0
629,2021,0
634,2021,0
672,2021,0
673,2021,0
697,2021,0
698,2021,0
699,2021,0
700,2021,0
701,2021,0
725,2021,0
727,2021,0
730,2021,-1
732,2021,0
734,2021,0
735,2021,0
740,2021,0
743,2021,0
749,2021,0
755,2021,0
756,2021,0
757,2021,0
762,2021,0
779,2021,-1
911,2021,0
919,2021,0
934,2021,0
935,2021,0
937,2021,0
938,2021,0
941,2021,0
1408,2021,0
1579,2021,0
2480,2021,-1
2491,2021,-1
2494,2021,-1
2504,2021,-1
2516,2021,-1
2521,2021,-1
2534,2021,-1
2610,2021,-1
2625,2021,-1
2634,2021,-1
2695,2021,-1
2698,2021,0
2704,2021,-1
2737,2021,0
2788,2021,-1
2793,2021,1
2794,2021,1
2795,2021,1
2796,2021,1
2797,2021,1
2798,2021,1
2799,2021,1
2800,2021,1
2862,2021,-1
2873,2021,-1
2874,2021,-1
2878,2021,-1
2879,2021,-1
2883,2021,-1
2898,2021,0
2909,2021,-1
2936,2021,-1
2980,2021,-1
3067,2021,-1
3090,2021,-1
3113,2021,-1
37,2022,0
39,2022,0
40,2022,0
41,2022,0
42,2022,0
45,2022,-1
46,2022,0
47,2022,0
48,2022,0
49,2022,0
50,2022,0
51,2022,0
52,2022,0
56,2022,0
63,2022,0
65,2022,0
71,2022,0
85,2022,0
86,2022,0
87,2022,0
92,2022,0
97,2022,0
101,2022,-1
110,2022,0
113,2022,0
460,2022,0
502,2022,0
739,2022,0
744,2022,0
747,2022,0
748,2022,0
750,2022,0
751,2022,0
753,2022,0
754,2022,0
759,2022,0
760,2022,0
763,2022,-1
764,2022,0
765,2022,-1
768,2022,0
772,2022,0
773,2022,0
774,2022,-1
776,2022,0
777,2022,0
884,2022,0
887,2022,0
892,2022,0
893,2022,0
895,2022,0
896,2022,0
898,2022,0
899,2022,0
900,2022,0
903,2022,0
904,2022,0
908,2022,0
913,2022,0
917,2022,0
921,2022,0
922,2022,0
923,2022,0
924,2022,0
925,2022,0
926,2022,0
928,2022,0
930,2022,0
932,2022,0
933,2022,0
936,2022,0
939,2022,0
940,2022,0
943,2022,0
944,2022,0
945,2022,0
946,2022,0
947,2022,-1
949,2022,0
950,2022,0
951,2022,0
952,2022,0
954,2022,-1
955,2022,0
956,2022,0
957,2022,0
958,2022,0
959,2022,0
960,2022,0
961,2022,0
962,2022,0
963,2022,0
964,2022,0
965,2022,0
966,2022,0
967,2022,0
